name,unicode,keywords,definition
om,U+1F549,religion hindu,"A symbol often used in relation to the Indian religions of Hinduism, Buddhism, Sikhism and Jainism. Om was approved as part of Unicode 7.0 i http://emojipedia.org/om-symbol/"
down button,U+1F53D,button arrow red down,"A triangle-shaped arrow, pointing down. Styled similarly to the left and right pointing triangles on iOS, but shown in red on Windows, and o http://emojipedia.org/down-pointing-small-red-triangle/"
up button,U+1F53C,button arrow red,"A triangle-shaped arrow, pointing up. Styled similarly to the left and right pointing triangles on iOS, but shown in red on Windows, and ora http://emojipedia.org/up-pointing-small-red-triangle/"
red triangle pointed down,U+1F53B,red geometric down,Red Triangle Pointed Down was approved as part of Unicode 6.0 in 2010 under the name “Down-Pointing Red Triangle” and added to Emoji 1.0 in  http://emojipedia.org/down-pointing-red-triangle/
red triangle pointed up,U+1F53A,red geometric,Red Triangle Pointed Up was approved as part of Unicode 6.0 in 2010 under the name “Up-Pointing Red Triangle” and added to Emoji 1.0 in 2015 http://emojipedia.org/up-pointing-red-triangle/
small blue diamond,U+1F539,blue geometric diamond,Small Blue Diamond was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/small-blue-diamond/
small orange diamond,U+1F538,orange geometric diamond,A small version of the large orange diamond emoji. Small Orange Diamond was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 i http://emojipedia.org/small-orange-diamond/
large blue diamond,U+1F537,blue geometric diamond,Large Blue Diamond was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/large-blue-diamond/
large orange diamond,U+1F536,orange geometric diamond,A larger version of the small orange diamond emoji. Large Orange Diamond was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0  http://emojipedia.org/large-orange-diamond/
blue circle,U+1F535,blue circle geometric,Blue Circle was approved as part of Unicode 6.0 in 2010 under the name “Large Blue Circle” and added to Emoji 1.0 in 2015. Copy and paste th http://emojipedia.org/large-blue-circle/
red circle,U+1F534,red circle geometric,Red Circle was approved as part of Unicode 6.0 in 2010 under the name “Large Red Circle” and added to Emoji 1.0 in 2015. Copy and paste this http://emojipedia.org/large-red-circle/
white square button,U+1F533,button outlined square geometric,White Square Button. White Square Button was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015. Copy and paste this emo http://emojipedia.org/white-square-button/
black square button,U+1F532,button square geometric,Black Square Button was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/black-square-button/
trident emblem,U+1F531,trident tool anchor ship emblem,"A trident is a three-pronged spear, that appears similar to a pitchfork. Often held by Greek or Roman Gods in statues. Trident Emblem was ap http://emojipedia.org/trident-emblem/"
Japanese symbol for beginner,U+1F530,leaf japanese tool beginner green chevron yellow,"A yellow and green shield symbol, called a Shoshinsha Mark. Must be displayed by drivers in Japan for one year after they receive their driv http://emojipedia.org/japanese-symbol-for-beginner/"
red heart,U+2764,heart,"A classic red love heart emoji, used to express love. Despite the name “Heavy Black Heart”, this character appears red on all platforms when http://emojipedia.org/heavy-black-heart/"
heavy heart exclamation,U+2763,exclamation punctuation mark,"A decorative exclamation mark, where a heart forms the top part of the symbol, and a circle the lower part. Similar to the way to the man in http://emojipedia.org/heavy-heart-exclamation-mark-ornament/"
dotted six-pointed star,U+1F52F,fortune star,"A star with six points, and a dot in the center. Similar to the Star of David emoji. Dotted Six-pointed Star was approved as part of Unicode http://emojipedia.org/six-pointed-star-with-middle-dot/"
crystal ball,U+1F52E,fortune tool fairy tale fantasy crystal ball,"A crystal ball, used by a clairvoyant to see information or inform a person of their future. Crystal Ball was approved as part of Unicode 6. http://emojipedia.org/crystal-ball/"
telescope,U+1F52D,science tool,"A telescope, used to view closer detail of stars and other objects in the night sky. Telescope was approved as part of Unicode 6.0 in 2010 a http://emojipedia.org/telescope/"
microscope,U+1F52C,science tool,"A microscope, found in science labs for magnifying insects, rocks, or other small objects. Microscope was approved as part of Unicode 6.0 in http://emojipedia.org/microscope/"
pistol,U+1F52B,tool weapon revolver handgun gun,"A gun emoji, more precisely a pistol. A weapon that has potential to cause great harm. Displayed facing right-to-left on all platforms. iOS  http://emojipedia.org/pistol/"
kitchen knife,U+1F52A,hocho tool cooking weapon knife,A versatile type of knife commonly found in kitchens in Japan. Generally used for cutting and filleting meat and fish. Not to be confused wi http://emojipedia.org/hocho/
nut and bolt,U+1F529,tool nut bolt,"A nut shown with a bolt (or screw), usually made of steel and shown with a silver/gray color on most platforms. The angle of the nut and bol http://emojipedia.org/nut-and-bolt/"
wrench,U+1F527,tool wrench spanner,Wrench was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/wrench/
flashlight,U+1F526,torch light electric tool,"A flashlight emoji, known as a torch outside of North America. Used when in the dark – either when the electricity is out, or when camping.  http://emojipedia.org/electric-torch/"
fire,U+1F525,tool flame,"A small flame, mostly yellow but red at the top. Can be used to describe something or someone being hot, or in the context of being exemplar http://emojipedia.org/fire/"
input latin letters,U+1F524,input latin abc alphabet letters,"A symbol showing the lowercase letters a, b, c and d. Intended to be used on a software keyboard, or other input screen to enable alphabetic http://emojipedia.org/input-symbol-for-latin-letters/"
input symbols,U+1F523,input ??&%,"A symbol showing the following glyphs: ? (Japanese postal mark), ?????? (music note), & (ampersand, or sometimes an @ symbol) and % (percent http://emojipedia.org/input-symbol-for-symbols/"
exclamation mark,U+2757,exclamation punctuation mark,Exclamation Mark was approved as part of Unicode 5.2 in 2009 under the name “Heavy Exclamation Mark Symbol” and added to Emoji 1.0 in 2015.  http://emojipedia.org/heavy-exclamation-mark-symbol/
input numbers,U+1F522,numbers input 1234,"A symbol showing the numbers 1, 2, 3 and 4. Intended to be used on a software keyboard, or other input screen to enable symbol input, as opp http://emojipedia.org/input-symbol-for-numbers/"
input latin lowercase,U+1F521,input latin lowercase abcd letters,"A symbol showing the lowercase letters a, b, c and d. Intended to be used on a software keyboard, or other input screen to toggle lowercase  http://emojipedia.org/input-symbol-for-latin-small-letters/"
white exclamation mark,U+2755,exclamation outlined punctuation mark,White Exclamation Mark was approved as part of Unicode 6.0 in 2010 under the name “White Exclamation Mark Ornament” and added to Emoji 1.0 i http://emojipedia.org/white-exclamation-mark-ornament/
input latin uppercase,U+1F520,input uppercase latin abcd letters,"A symbol showing the capital letters A, B, C and D. Intended to be used on a software keyboard, or other input screen to toggle capital lett http://emojipedia.org/input-symbol-for-latin-capital-letters/"
white question mark,U+2754,question outlined punctuation mark,White Question Mark was approved as part of Unicode 6.0 in 2010 under the name “White Question Mark Ornament” and added to Emoji 1.0 in 2015 http://emojipedia.org/white-question-mark-ornament/
question mark,U+2753,question punctuation mark,Question Mark was approved as part of Unicode 6.0 in 2010 under the name “Black Question Mark Ornament” and added to Emoji 1.0 in 2015. Copy http://emojipedia.org/black-question-mark-ornament/
keycap 10,U+1F51F,keycap 10,"The number 10 on a square with rounded corners, designed to look like a keycap. Keycap 10 was approved as part of Unicode 6.0 in 2010 under  http://emojipedia.org/keycap-ten/"
no one under eighteen,U+1F51E,forbidden underage not prohibited age restriction 18 no eighteen,"The number eighteen with a red stroke through it, indicating a location where a person must be aged 18 or above to enter. The Samsung versio http://emojipedia.org/no-one-under-eighteen-symbol/"
TOP arrow,U+1F51D,up arrow top,"The word ""top"" with an arrow pointing up above it. TOP Arrow was approved as part of Unicode 6.0 in 2010 under the name “Top With Upwards Ar http://emojipedia.org/top-with-upwards-arrow-above/"
SOON arrow,U+1F51C,soon arrow,"The word ""soon"" with an arrow above it, pointing to the right. SOON Arrow was approved as part of Unicode 6.0 in 2010 under the name “Soon W http://emojipedia.org/soon-with-rightwards-arrow-above/"
ON! arrow,U+1F51B,on arrow mark,ON! Arrow was approved as part of Unicode 6.0 in 2010 under the name “On With Exclamation Mark With Left Right Arrow Above” and added to Emo http://emojipedia.org/on-with-exclamation-mark-with-left-right-arrow-above/
END arrow,U+1F51A,end arrow,END Arrow was approved as part of Unicode 6.0 in 2010 under the name “End With Leftwards Arrow Above” and added to Emoji 1.0 in 2015. Copy a http://emojipedia.org/end-with-leftwards-arrow-above/
cross mark button,U+274E,square mark,Cross Mark Button was approved as part of Unicode 6.0 in 2010 under the name “Negative Squared Cross Mark” and added to Emoji 1.0 in 2015. C http://emojipedia.org/negative-squared-cross-mark/
cross mark,U+274C,x multiply cancel multiplication mark,"A large red cross mark, displayed in the shape of a letter X and similar to a multiplication sign. Cross Mark was approved as part of Unicod http://emojipedia.org/cross-mark/"
BACK arrow,U+1F519,back arrow,BACK Arrow was approved as part of Unicode 6.0 in 2010 under the name “Back With Leftwards Arrow Above” and added to Emoji 1.0 in 2015. Copy http://emojipedia.org/back-with-leftwards-arrow-above/
radio button,U+1F518,radio button geometric,"A radio button user interface element, used in form fields with two or more choices. Differs from a checkbox, in that only one response can  http://emojipedia.org/radio-button/"
bell with slash,U+1F515,silent quiet forbidden bell not mute prohibited no,"A gold or yellow bell with a red line through it, which is commonly used on mobile phones as an icon for the silencing of notifications or r http://emojipedia.org/bell-with-cancellation-stroke/"
unlocked,U+1F513,open lock unlock,"An unlocked (open) padlock, used either in the real world to secure an object; or as a symbol of a non-secure page relating to SSL certifica http://emojipedia.org/open-lock/"
key,U+1F511,password lock,"A key, which may be used to open a door or lock. Shown on most platforms in gold (yellow), but also sometimes as bronze, or silver. DJ Khale http://emojipedia.org/key/"
locked with key,U+1F510,closed lock key secure,"A locked (closed) padlock, with a key shown next to it. In the Apple artwork, the text on the key reads UM242, which is an actual type of ke http://emojipedia.org/closed-lock-with-key/"
snowflake,U+2744,cold snow,"Snow falling to the ground in the form of a unique ? snowflake. With enough snow, a snowman can be made! Snow found at alpine resorts and mo http://emojipedia.org/snowflake/"
